date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:06	139575/139575	---M--	200	added ('OK')	image/jpeg	etag:%2222137-4df5f7b845580%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/foto03.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/foto03.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:12	38479/38479	---M--	200	added ('OK')	image/jpeg	etag:%22964f-4df5f7bdfe300%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/ft02.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/ft02.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:13	50837/50837	---M--	200	added ('OK')	image/jpeg	etag:%22c695-4df5f7bd0a0c0%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/ft01.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/ft01.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:21	43101/43101	---M--	200	added ('OK')	image/jpeg	etag:%22a85d-4df5f7c1cec00%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/ft06.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/ft06.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:31	162269/162269	---M--	200	added ('OK')	image/jpeg	etag:%22279dd-4df5f7b751340%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/foto02.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/foto02.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:38	34797/34797	---M--	200	added ('OK')	image/jpeg	etag:%2287ed-4df5f7c2c2e40%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/ft07.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/ft07.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:43	191116/191116	---M--	200	added ('OK')	image/jpeg	etag:%222ea8c-4df5f7bc15e80%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/foto06.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/foto06.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:44	141822/141822	---M--	200	added ('OK')	image/jpeg	etag:%22229fe-4df5f7bc15e80%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/foto07.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/foto07.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:48	65574/65574	---M--	200	added ('OK')	image/jpeg	etag:%2210026-5117afe055d40%22	http://www.residencialluizaqueiroz.com.br/pics/tabela.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/tabela.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:13:58	343432/343432	---M--	200	added ('OK')	image/jpeg	etag:%2253d88-4df5f7b751340%22	http://www.residencialluizaqueiroz.com.br/pics/fotos/foto01.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/pics/fotos/foto01.jpg	(from http://www.residencialluizaqueiroz.com.br/index.php)
10:14:18	121978/121978	---M--	200	added ('OK')	image/jpeg	etag:%221dc7a-4df5f77e18c40%22	http://www.residencialluizaqueiroz.com.br/mobile/pics/imagens.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/pics/imagens.jpg	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:14:30	259808/259808	---M--	200	added ('OK')	image/jpeg	etag:%223f6e0-4df5f77a48340%22	http://www.residencialluizaqueiroz.com.br/mobile/pics/empreendimento.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/pics/empreendimento.jpg	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:14:51	121140/121140	---M--	200	added ('OK')	image/jpeg	etag:%221d934-4df5f784c5c00%22	http://www.residencialluizaqueiroz.com.br/mobile/pics/preco.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/pics/preco.jpg	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:14:51	419548/419548	---M--	200	added ('OK')	image/jpeg	etag:%22666dc-4df5f77c307c0%22	http://www.residencialluizaqueiroz.com.br/mobile/pics/home3.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/pics/home3.jpg	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:14:51	476/476	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Jan%202017%2013:14:52%20GMT	http://www.residencialluizaqueiroz.com.br/mobile/pics/bt-menu.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/pics/bt-menu.41.delayed	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:14:52	2545/2545	---M--	200	added ('OK')	image/gif	etag:%229f1-4df5f78896500%22	http://www.residencialluizaqueiroz.com.br/mobile/shadowbox/loading.gif	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/shadowbox/loading.gif	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:14:52	255/255	---M--	200	added ('OK')	image/png	etag:%22ff-4df5f787a22c0%22	http://www.residencialluizaqueiroz.com.br/mobile/shadowbox/close.png	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/shadowbox/close.png	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:14:53	248/248	---M--	200	added ('OK')	image/png	etag:%22f8-4df5f78896500%22	http://www.residencialluizaqueiroz.com.br/mobile/shadowbox/next.png	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/shadowbox/next.png	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:14:53	237/237	---M--	200	added ('OK')	image/png	etag:%22ed-4df5f7898a740%22	http://www.residencialluizaqueiroz.com.br/mobile/shadowbox/previous.png	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/shadowbox/previous.png	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:14:54	211/211	---M--	200	added ('OK')	image/png	etag:%22d3-4df5f7898a740%22	http://www.residencialluizaqueiroz.com.br/mobile/shadowbox/play.png	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/shadowbox/play.png	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:14:54	155/155	---M--	200	added ('OK')	image/png	etag:%229b-4df5f7898a740%22	http://www.residencialluizaqueiroz.com.br/mobile/shadowbox/pause.png	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/shadowbox/pause.png	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:15:04	50837/50837	---M--	200	added ('OK')	image/jpeg	etag:%22c695-4df5f79c9d440%22	http://www.residencialluizaqueiroz.com.br/mobile/pics/fotos/ft01.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/pics/fotos/ft01.jpg	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:15:09	327372/327372	---M--	200	added ('OK')	image/jpeg	etag:%224fecc-4df5f782dd780%22	http://www.residencialluizaqueiroz.com.br/mobile/pics/localizacao.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/pics/localizacao.jpg	(from http://www.residencialluizaqueiroz.com.br/mobile/)
10:15:16	38479/38479	---M--	200	added ('OK')	image/jpeg	etag:%22964f-4df5f79c9d440%22	http://www.residencialluizaqueiroz.com.br/mobile/pics/fotos/ft02.jpg	C:/Users/João%20Paulo/Documents/luiza%20queiroz/www.residencialluizaqueiroz.com.br/mobile/pics/fotos/ft02.jpg	(from http://www.residencialluizaqueiroz.com.br/mobile/)
